Upgrade,Type,Travel,Hospitality,Attraction,Price,ClickGain
Bus,travel,0,0,0,1000,10.5
Hostel,hospitality,0,0,0,1500,15
Train,travel,1,0,0,1600,30
Bed and Breakfast,hospitality,0,1,0,5000,100
Inn,hospitality,1,2,0,7000,111
Banff,location,1,3,0,70000,70000
Dining Experience,attraction,1,3,0,7000,112
Motel,hospitality,1,3,0,10000,113
Hotel,hospitality,2,4,0,20000,114
Cruise Ship,travel,2,3,1,12000,115
Tour Guide,attraction,3,3,1,8000,116
Plane,travel,3,4,1,20000,117
Resort,hospitality,3,5,1,80000,118
Jet,travel,4,5,2,70000,119
Exp,attraction,5,6,2,100000,110
,,,,,,1300.5
